query,intent,processed_text
公司的专利申请流程是什么,sql,公司 专利申请 流程
能告诉我公司的发展历史吗,rag,告诉 公司 发展 历史
如何使用公司的电子签名系统,sql,使用 公司 电子签名 系统
能告诉我2018年公司的盈利情况吗,sql,希望 告诉 2018 年 公司 盈利 情况
计算销售部门设计师的平均工作年限,sql,计算 销售 部门 设计师 平均 工作 年限
如何申请在家办公,rag,申请 在家 办公
我想知道公司的培训体系,rag,知道 公司 培训 体系
公司的餐厅营业时间是什么时候,sql,公司 餐厅 营业时间 时候
统计公司各部门的人才流失率,sql,统计 公司 部门 人才 流失率啊
公司的员工福利包括哪些内容,rag,公司 员工福利 包括 内容
公司的员工手册在哪里可以找到,sql,麻烦 公司 员工 手册 哪里 找到呀
公司的专利申请流程是什么,rag,公司 专利申请 流程
如何使用公司的共享单车福利,rag,使用 公司 共享 单车 福利
公司的员工心理健康支持项目有哪些,rag,公司 员工 心理健康 支持 项目
公司的保密协议内容是什么,rag,想了解 公司 保密 协议 内容的
请问2019年第一季度的销售额是多少,sql,2019 年 第一季度 销售额
公司的办公用品申请流程是什么,sql,公司 办公用品 申请 流程
公司的餐厅营业时间是什么时候,sql,公司 餐厅 营业时间 时候
查询公司总监的晋升周期,sql,查询 公司 总监 晋升 周期
如何申请公司的内部转账,rag,申请 公司 内部 转账了
公司的环保政策有哪些内容,sql,公司 环保 政策 内容
公司的加班补偿政策是什么,rag,公司 加班 补偿 政策的
如何使用公司的健身房设施,sql,使用 公司 健身房 设施
公司的产品线包括哪些产品,rag,公司 产品线 包括 产品
公司的健康保险政策是什么,rag,公司 健康 保险 政策
公司的试用期政策是什么,rag,有没有人知道 公司 试用期 政策
公司的差旅报销流程是什么,rag,想了解 公司 差旅 报销 流程
如何申请在家办公,sql,申请 在家 办公
公司的加班餐补政策是什么,rag,公司 加班 餐补 政策
如何参加公司的技术分享会,rag,参加 公司 技术 分享
统计一下质量控制部门的男女比例,sql,统计 一下 质量 控制 部门 男女比例
公司各部门的人数分布情况是怎样的,sql,需要 公司 各 部门 人数 情况 分布
公司的WiFi密码是多少,rag,有没有人知道 公司 WiFi 密码啊
如何参加公司组织的培训课程,sql,参加 公司 组织 培训 课程
公司的打卡时间是几点到几点,rag,公司 打卡 时间 几点 几点
计算市场营销部门2022年的投资回报率,sql,计算 市场营销部 门 2022 年 投资 回报率
